epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,959.035,1.16917,1.04497,1.17009,0.63745,0.56627,0.59444,0.33802,1.50882,1.49581,1.42691,0.00030606,0.00030606,0.00030606
69,972.397,1.11115,1.00983,1.11849,0.6673,0.5756,0.61744,0.3534,1.47396,1.43596,1.40389,0.000297061,0.000297061,0.000297061
70,986.483,1.13013,1.03711,1.14265,0.67752,0.58235,0.62144,0.35111,1.50656,1.43087,1.42902,0.000288062,0.000288062,0.000288062
71,1002.14,1.14625,1.03639,1.15186,0.63412,0.60087,0.6164,0.35554,1.49165,1.43013,1.43209,0.000279063,0.000279063,0.000279063
72,1015.52,1.13535,0.98751,1.14311,0.64738,0.59924,0.61083,0.35239,1.4981,1.45354,1.42365,0.000270064,0.000270064,0.000270064
73,1028.92,1.10774,0.99769,1.13129,0.68656,0.56739,0.61054,0.34656,1.49812,1.46634,1.42242,0.000261065,0.000261065,0.000261065
74,1042.79,1.10061,0.97644,1.12807,0.64782,0.59198,0.60931,0.34585,1.51089,1.46178,1.44585,0.000252066,0.000252066,0.000252066
75,1056.52,1.09864,0.94559,1.11721,0.69433,0.5847,0.63084,0.36248,1.49351,1.42701,1.42589,0.000243067,0.000243067,0.000243067
76,1070.42,1.0927,0.96225,1.11727,0.65309,0.60631,0.62173,0.35891,1.48449,1.45097,1.43131,0.000234068,0.000234068,0.000234068
77,1083.79,1.10671,0.96442,1.13105,0.68606,0.58936,0.61809,0.35211,1.49583,1.45218,1.44044,0.000225068,0.000225068,0.000225068
78,1097.12,1.06567,0.94102,1.11529,0.65375,0.59877,0.61294,0.35508,1.4875,1.44741,1.4328,0.000216069,0.000216069,0.000216069
79,1110.75,1.05518,0.92427,1.1007,0.65335,0.59597,0.61199,0.35214,1.50379,1.46245,1.44367,0.00020707,0.00020707,0.00020707
80,1124.42,1.07741,0.95007,1.11916,0.6634,0.58733,0.612,0.35636,1.48182,1.44242,1.42484,0.000198071,0.000198071,0.000198071
81,1138,1.05685,0.90027,1.1123,0.66737,0.58626,0.61675,0.35497,1.49948,1.47181,1.43166,0.000189072,0.000189072,0.000189072
82,1151.27,1.07534,0.92138,1.10398,0.66856,0.59987,0.62673,0.36109,1.48202,1.43657,1.42745,0.000180073,0.000180073,0.000180073
83,1164.73,1.04146,0.88725,1.09526,0.67312,0.60033,0.62971,0.36268,1.47556,1.43584,1.42151,0.000171074,0.000171074,0.000171074
84,1178.1,1.04147,0.89449,1.08757,0.65422,0.60692,0.62095,0.36174,1.48043,1.44328,1.4161,0.000162075,0.000162075,0.000162075
85,1191.36,1.02395,0.87984,1.08853,0.67013,0.59005,0.6122,0.35797,1.47678,1.44844,1.42819,0.000153076,0.000153076,0.000153076
86,1205.02,1.04095,0.88632,1.09083,0.67443,0.59593,0.63232,0.36474,1.48071,1.44207,1.42485,0.000144077,0.000144077,0.000144077
87,1218.91,1.01161,0.86159,1.07937,0.68824,0.58181,0.62865,0.36799,1.47669,1.41175,1.42242,0.000135077,0.000135077,0.000135077
88,1232.91,0.99344,0.83644,1.07525,0.68017,0.59131,0.63277,0.36636,1.48507,1.44376,1.43227,0.000126078,0.000126078,0.000126078
89,1246.83,1.00012,0.85019,1.08346,0.70129,0.59391,0.63904,0.3749,1.4675,1.42321,1.4165,0.000117079,0.000117079,0.000117079
90,1260.77,1.00957,0.85476,1.07354,0.68159,0.6142,0.64222,0.3761,1.46561,1.40273,1.41322,0.00010808,0.00010808,0.00010808
91,1279.31,0.95864,0.75837,1.05715,0.68486,0.59769,0.63109,0.36605,1.48267,1.43415,1.43487,9.9081e-05,9.9081e-05,9.9081e-05
92,1292.66,0.93906,0.75921,1.05372,0.70094,0.59171,0.63247,0.37027,1.48044,1.43824,1.42839,9.00819e-05,9.00819e-05,9.00819e-05
93,1306.25,0.93144,0.73726,1.03996,0.67976,0.60264,0.63334,0.3688,1.49282,1.42744,1.44476,8.10828e-05,8.10828e-05,8.10828e-05
94,1319.85,0.92064,0.70592,1.03887,0.69648,0.59953,0.63515,0.37197,1.48533,1.41832,1.43336,7.20837e-05,7.20837e-05,7.20837e-05
95,1333.8,0.89852,0.68046,1.01418,0.67628,0.61502,0.63834,0.37722,1.46982,1.41525,1.4239,6.30846e-05,6.30846e-05,6.30846e-05
96,1347.18,0.91071,0.69818,1.01859,0.68116,0.59866,0.62525,0.37061,1.47729,1.446,1.42597,5.40855e-05,5.40855e-05,5.40855e-05
97,1360.49,0.8798,0.67398,1.01437,0.69724,0.5865,0.63065,0.37363,1.47711,1.43048,1.42799,4.50864e-05,4.50864e-05,4.50864e-05
98,1373.95,0.87503,0.68951,1.01775,0.70399,0.60122,0.6418,0.37787,1.48165,1.44303,1.43449,3.60873e-05,3.60873e-05,3.60873e-05
99,1387.64,0.87285,0.67002,1.01049,0.69152,0.60266,0.64063,0.38098,1.47747,1.42893,1.43388,2.70882e-05,2.70882e-05,2.70882e-05
100,1401.01,0.85904,0.6453,1.00296,0.69293,0.6075,0.64247,0.38211,1.47247,1.43068,1.43196,1.80891e-05,1.80891e-05,1.80891e-05
